game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200211040gnb,First Downs,25,16,Miami Dolphins,Green Bay Packers,MIA,GNB
200211040gnb,Rush-Yds-TDs,30-143-1,23-104-1,Miami Dolphins,Green Bay Packers,MIA,GNB
200211040gnb,Cmp-Att-Yd-TD-INT,22-42-198-0-2,17-27-188-1-1,Miami Dolphins,Green Bay Packers,MIA,GNB
200211040gnb,Sacked-Yards,5-35,3-22,Miami Dolphins,Green Bay Packers,MIA,GNB
200211040gnb,Net Pass Yards,163,166,Miami Dolphins,Green Bay Packers,MIA,GNB
200211040gnb,Total Yards,306,270,Miami Dolphins,Green Bay Packers,MIA,GNB
200211040gnb,Fumbles-Lost,3-2,0-0,Miami Dolphins,Green Bay Packers,MIA,GNB
200211040gnb,Turnovers,4,1,Miami Dolphins,Green Bay Packers,MIA,GNB
200211040gnb,Penalties-Yards,6-55,9-71,Miami Dolphins,Green Bay Packers,MIA,GNB
200211040gnb,Third Down Conv.,3-13,4-11,Miami Dolphins,Green Bay Packers,MIA,GNB
200211040gnb,Fourth Down Conv.,1-2,0-0,Miami Dolphins,Green Bay Packers,MIA,GNB
200211040gnb,Time of Possession,31:11,28:49,Miami Dolphins,Green Bay Packers,MIA,GNB
