game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200209150atl,First Downs,13,19,Chicago Bears,Atlanta Falcons,CHI,ATL
200209150atl,Rush-Yds-TDs,31-106-1,30-122-0,Chicago Bears,Atlanta Falcons,CHI,ATL
200209150atl,Cmp-Att-Yd-TD-INT,12-24-143-1-1,17-28-166-1-0,Chicago Bears,Atlanta Falcons,CHI,ATL
200209150atl,Sacked-Yards,1-7,4-31,Chicago Bears,Atlanta Falcons,CHI,ATL
200209150atl,Net Pass Yards,136,135,Chicago Bears,Atlanta Falcons,CHI,ATL
200209150atl,Total Yards,242,257,Chicago Bears,Atlanta Falcons,CHI,ATL
200209150atl,Fumbles-Lost,2-1,3-3,Chicago Bears,Atlanta Falcons,CHI,ATL
200209150atl,Turnovers,2,3,Chicago Bears,Atlanta Falcons,CHI,ATL
200209150atl,Penalties-Yards,7-79,5-40,Chicago Bears,Atlanta Falcons,CHI,ATL
200209150atl,Third Down Conv.,4-13,5-13,Chicago Bears,Atlanta Falcons,CHI,ATL
200209150atl,Fourth Down Conv.,0-0,0-0,Chicago Bears,Atlanta Falcons,CHI,ATL
200209150atl,Time of Possession,28:35,31:25,Chicago Bears,Atlanta Falcons,CHI,ATL
