game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200209150kan,First Downs,19,18,Jacksonville Jaguars,Kansas City Chiefs,JAX,KAN
200209150kan,Rush-Yds-TDs,29-130-1,28-140-0,Jacksonville Jaguars,Kansas City Chiefs,JAX,KAN
200209150kan,Cmp-Att-Yd-TD-INT,25-36-320-2-0,16-32-199-1-2,Jacksonville Jaguars,Kansas City Chiefs,JAX,KAN
200209150kan,Sacked-Yards,0-0,1-3,Jacksonville Jaguars,Kansas City Chiefs,JAX,KAN
200209150kan,Net Pass Yards,320,196,Jacksonville Jaguars,Kansas City Chiefs,JAX,KAN
200209150kan,Total Yards,450,336,Jacksonville Jaguars,Kansas City Chiefs,JAX,KAN
200209150kan,Fumbles-Lost,1-1,0-0,Jacksonville Jaguars,Kansas City Chiefs,JAX,KAN
200209150kan,Turnovers,1,2,Jacksonville Jaguars,Kansas City Chiefs,JAX,KAN
200209150kan,Penalties-Yards,5-45,5-48,Jacksonville Jaguars,Kansas City Chiefs,JAX,KAN
200209150kan,Third Down Conv.,7-15,6-13,Jacksonville Jaguars,Kansas City Chiefs,JAX,KAN
200209150kan,Fourth Down Conv.,1-1,0-0,Jacksonville Jaguars,Kansas City Chiefs,JAX,KAN
200209150kan,Time of Possession,31:44,28:16,Jacksonville Jaguars,Kansas City Chiefs,JAX,KAN
