game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200211030chi,First Downs,23,18,Philadelphia Eagles,Chicago Bears,PHI,CHI
200211030chi,Rush-Yds-TDs,37-117-1,24-74-1,Philadelphia Eagles,Chicago Bears,PHI,CHI
200211030chi,Cmp-Att-Yd-TD-INT,18-33-209-0-1,19-37-205-0-0,Philadelphia Eagles,Chicago Bears,PHI,CHI
200211030chi,Sacked-Yards,3-17,3-19,Philadelphia Eagles,Chicago Bears,PHI,CHI
200211030chi,Net Pass Yards,192,186,Philadelphia Eagles,Chicago Bears,PHI,CHI
200211030chi,Total Yards,309,260,Philadelphia Eagles,Chicago Bears,PHI,CHI
200211030chi,Fumbles-Lost,1-0,1-1,Philadelphia Eagles,Chicago Bears,PHI,CHI
200211030chi,Turnovers,1,1,Philadelphia Eagles,Chicago Bears,PHI,CHI
200211030chi,Penalties-Yards,6-54,12-121,Philadelphia Eagles,Chicago Bears,PHI,CHI
200211030chi,Third Down Conv.,5-16,1-11,Philadelphia Eagles,Chicago Bears,PHI,CHI
200211030chi,Fourth Down Conv.,1-3,1-2,Philadelphia Eagles,Chicago Bears,PHI,CHI
200211030chi,Time of Possession,33:01,26:59,Philadelphia Eagles,Chicago Bears,PHI,CHI
