game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200210130oti,First Downs,13,25,Jacksonville Jaguars,Tennessee Titans,JAX,TEN
200210130oti,Rush-Yds-TDs,26-130-2,40-152-1,Jacksonville Jaguars,Tennessee Titans,JAX,TEN
200210130oti,Cmp-Att-Yd-TD-INT,7-13-84-0-2,26-36-226-1-0,Jacksonville Jaguars,Tennessee Titans,JAX,TEN
200210130oti,Sacked-Yards,3-16,1-8,Jacksonville Jaguars,Tennessee Titans,JAX,TEN
200210130oti,Net Pass Yards,68,218,Jacksonville Jaguars,Tennessee Titans,JAX,TEN
200210130oti,Total Yards,198,370,Jacksonville Jaguars,Tennessee Titans,JAX,TEN
200210130oti,Fumbles-Lost,0-0,2-1,Jacksonville Jaguars,Tennessee Titans,JAX,TEN
200210130oti,Turnovers,2,1,Jacksonville Jaguars,Tennessee Titans,JAX,TEN
200210130oti,Penalties-Yards,4-22,5-55,Jacksonville Jaguars,Tennessee Titans,JAX,TEN
200210130oti,Third Down Conv.,4-9,10-17,Jacksonville Jaguars,Tennessee Titans,JAX,TEN
200210130oti,Fourth Down Conv.,0-0,2-2,Jacksonville Jaguars,Tennessee Titans,JAX,TEN
200210130oti,Time of Possession,22:17,37:43,Jacksonville Jaguars,Tennessee Titans,JAX,TEN
