game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200209080jax,First Downs,18,19,Indianapolis Colts,Jacksonville Jaguars,IND,JAX
200209080jax,Rush-Yds-TDs,28-104-0,32-118-1,Indianapolis Colts,Jacksonville Jaguars,IND,JAX
200209080jax,Cmp-Att-Yd-TD-INT,19-31-211-3-0,22-36-228-2-1,Indianapolis Colts,Jacksonville Jaguars,IND,JAX
200209080jax,Sacked-Yards,1-8,1-3,Indianapolis Colts,Jacksonville Jaguars,IND,JAX
200209080jax,Net Pass Yards,203,225,Indianapolis Colts,Jacksonville Jaguars,IND,JAX
200209080jax,Total Yards,307,343,Indianapolis Colts,Jacksonville Jaguars,IND,JAX
200209080jax,Fumbles-Lost,2-2,3-1,Indianapolis Colts,Jacksonville Jaguars,IND,JAX
200209080jax,Turnovers,2,2,Indianapolis Colts,Jacksonville Jaguars,IND,JAX
200209080jax,Penalties-Yards,2-14,5-40,Indianapolis Colts,Jacksonville Jaguars,IND,JAX
200209080jax,Third Down Conv.,9-14,8-16,Indianapolis Colts,Jacksonville Jaguars,IND,JAX
200209080jax,Fourth Down Conv.,0-0,3-3,Indianapolis Colts,Jacksonville Jaguars,IND,JAX
200209080jax,Time of Possession,27:27,32:33,Indianapolis Colts,Jacksonville Jaguars,IND,JAX
