game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200211100oti,First Downs,13,15,Houston Texans,Tennessee Titans,HOU,TEN
200211100oti,Rush-Yds-TDs,24-68-0,39-142-0,Houston Texans,Tennessee Titans,HOU,TEN
200211100oti,Cmp-Att-Yd-TD-INT,19-34-182-1-2,10-21-109-2-2,Houston Texans,Tennessee Titans,HOU,TEN
200211100oti,Sacked-Yards,4-17,0-0,Houston Texans,Tennessee Titans,HOU,TEN
200211100oti,Net Pass Yards,165,109,Houston Texans,Tennessee Titans,HOU,TEN
200211100oti,Total Yards,233,251,Houston Texans,Tennessee Titans,HOU,TEN
200211100oti,Fumbles-Lost,3-1,0-0,Houston Texans,Tennessee Titans,HOU,TEN
200211100oti,Turnovers,3,2,Houston Texans,Tennessee Titans,HOU,TEN
200211100oti,Penalties-Yards,5-47,3-20,Houston Texans,Tennessee Titans,HOU,TEN
200211100oti,Third Down Conv.,4-15,3-11,Houston Texans,Tennessee Titans,HOU,TEN
200211100oti,Fourth Down Conv.,1-3,0-0,Houston Texans,Tennessee Titans,HOU,TEN
200211100oti,Time of Possession,26:23,33:37,Houston Texans,Tennessee Titans,HOU,TEN
