game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200209220nyg,First Downs,7,21,Seattle Seahawks,New York Giants,SEA,NYG
200209220nyg,Rush-Yds-TDs,18-40-0,35-94-0,Seattle Seahawks,New York Giants,SEA,NYG
200209220nyg,Cmp-Att-Yd-TD-INT,16-25-118-0-1,23-38-282-0-0,Seattle Seahawks,New York Giants,SEA,NYG
200209220nyg,Sacked-Yards,2-13,3-25,Seattle Seahawks,New York Giants,SEA,NYG
200209220nyg,Net Pass Yards,105,257,Seattle Seahawks,New York Giants,SEA,NYG
200209220nyg,Total Yards,145,351,Seattle Seahawks,New York Giants,SEA,NYG
200209220nyg,Fumbles-Lost,0-0,1-0,Seattle Seahawks,New York Giants,SEA,NYG
200209220nyg,Turnovers,1,0,Seattle Seahawks,New York Giants,SEA,NYG
200209220nyg,Penalties-Yards,6-37,3-24,Seattle Seahawks,New York Giants,SEA,NYG
200209220nyg,Third Down Conv.,4-12,8-18,Seattle Seahawks,New York Giants,SEA,NYG
200209220nyg,Fourth Down Conv.,0-0,0-1,Seattle Seahawks,New York Giants,SEA,NYG
200209220nyg,Time of Possession,23:10,36:50,Seattle Seahawks,New York Giants,SEA,NYG
